account,channel,contact_route_url,source_url,confidence,notes
"Vapi","Trust center","https://security.vapi.ai/","https://security.vapi.ai/","Medium","Use as trust/security review route. Do not submit as a vulnerability report unless there is an authorized finding."
"Retool","Vulnerability disclosure","https://retool.com/vulnerability-reporting","https://retool.com/vulnerability-reporting","High","Use carefully as security review inquiry, not a vulnerability claim."
"Pipedream","Security inbox","security@pipedream.com","https://pipedream.com/docs/privacy-and-security","High","Public docs list this for security-related questions and suspected vulnerabilities."
"Composio","Security inbox","security@composio.dev","https://github.com/ComposioHQ/composio/security","High","Public GitHub security policy lists this address."
"PostHog","Security inbox","security-reports@posthog.com","https://posthog.com/handbook/company/security-advisories","High","Public handbook lists this for security vulnerabilities and related findings."
"Statsig","Contact form","https://www.statsig.com/contact/us","https://www.statsig.com/trust/security","Medium","Use contact form unless a better security-review route is founder-provided."
"Braintrust","Trust inbox","trust@braintrustdata.com","https://trust.braintrust.dev/","Medium","Trust center lists this as the trust contact."
"Granola","Security inbox","security@granola.so","https://docs.granola.ai/help-center/policies/terms-of-service/vulnerability-disclosure-policy","High","Public vulnerability disclosure policy lists this address."
"Sentry","Security inbox","security@sentry.io","https://sentry.io/security/","High","Public security page lists this for vulnerability or security concerns."
"Replit","Security inbox","security@replit.com","https://docs.replit.com/legal-and-security-info/security","High","Public security docs list this address and subject guidance."
