stage,account,contact_name,contact_role,contact_channel,source_url,trigger,score,recommended_offer,draft_angle,approval_status,last_touch,next_action,payment_status,delivery_status,notes
"Qualified","Vapi","","Head of Engineering, Security Lead, CTO","Email or LinkedIn","https://docs.vapi.ai/sdk/mcp-server","Vapi exposes APIs as MCP tools for assistants, phone numbers, and calls.","9","MCP Quick Audit","MCP readiness review for voice-agent tools","Not approved","","Select exact recipient and request same-turn approval","","","Public signal only. Do not send until exact recipient and exact message are approved."
"Qualified","Retool","","Product Security Lead, Enterprise Engineering Lead","Email or LinkedIn","https://retool.com/blog/retool-mcp-server","Retool MCP lets agents manage apps, workflows, users, and org resources from Claude, Cursor, Codex, or Kiro.","10","MCP Quick Audit","MCP readiness review for internal-tool access","Not approved","","Select exact recipient and request same-turn approval","","","Public signal only. Do not send until exact recipient and exact message are approved."
"Qualified","Pipedream","","Head of Platform, Security Engineering Lead","Email or LinkedIn","https://pipedream.com/docs/connect/mcp","Pipedream provides MCP servers for thousands of apps and pre-built tools with managed OAuth and credential storage.","10","MCP Quick Audit","MCP exposure review for broad SaaS tool access","Not approved","","Select exact recipient and request same-turn approval","","","Public signal only. Do not send until exact recipient and exact message are approved."
"Qualified","Composio","","Founder, CTO, Head of Platform","Email or LinkedIn","https://composio.dev/mcp-gateway","Composio offers centralized MCP server management, managed toolkits, and custom MCP servers behind one gateway.","9","MCP Quick Audit plus buyer-safe summary","MCP trust review for gateway-managed tools","Not approved","","Select exact recipient and request same-turn approval","","","Public signal only. Do not send until exact recipient and exact message are approved."
"Qualified","PostHog","","Product Security Lead, Head of Engineering","Email or LinkedIn","https://posthog.com/docs/model-context-protocol","PostHog MCP lets agents run analytics queries, manage feature flags and experiments, triage tickets, use SQL, and work with CDP destinations.","9","MCP Quick Audit","MCP readiness check for analytics and feature-flag tools","Not approved","","Select exact recipient and request same-turn approval","","","Public signal only. Do not send until exact recipient and exact message are approved."
"Qualified","Statsig","","Product Security Lead, Platform Engineering Lead","Email or LinkedIn","https://docs.statsig.com/integrations/mcp/overview","Statsig MCP supports read tools and write tools for gates, experiments, configs, and bulk changes.","9","MCP Quick Audit","MCP readiness check for feature-gate actions","Not approved","","Select exact recipient and request same-turn approval","","","Public signal only. Do not send until exact recipient and exact message are approved."
"Qualified","Braintrust","","Security Lead, Head of Product Engineering","Email or LinkedIn","https://www.braintrust.dev/docs/integrations/developer-tools/mcp","Braintrust MCP lets AI coding tools query experiments, search docs, and analyze production logs.","8","MCP Exposure Audit","MCP exposure snapshot for eval and log access","Not approved","","Select exact recipient and request same-turn approval","","","Public signal only. Do not send until exact recipient and exact message are approved."
"Qualified","Granola","","Security Lead, CTO, Head of Enterprise","Email or LinkedIn","https://www.granola.ai/blog/granola-mcp","Granola MCP connects meeting notes to Claude, ChatGPT, Cursor, and other AI tools.","8","MCP Exposure Audit","MCP exposure snapshot for meeting-note access","Not approved","","Select exact recipient and request same-turn approval","","","Public signal only. Do not send until exact recipient and exact message are approved."
"Qualified","Sentry","","Product Security Lead, Developer Platform Lead","Email or LinkedIn","https://mcp.sentry.dev/","Sentry MCP connects AI assistants to errors, performance, issue triage, docs, and project management.","9","MCP Quick Audit","MCP readiness review for error and trace access","Not approved","","Select exact recipient and request same-turn approval","","","Public signal only. Do not send until exact recipient and exact message are approved."
"Qualified","Replit","","Head of Security, AI Platform Lead","Email or LinkedIn","https://docs.replit.com/build/connect-via-mcp","Replit Agent can connect to pre-listed and custom MCP servers, with guidance to trust sources and review access.","9","Platform Exposure Audit","MCP exposure review for custom coding-agent tools","Not approved","","Select exact recipient and request same-turn approval","","","Public signal only. Do not send until exact recipient and exact message are approved."
